-0.999,49.1754 39.62018 45.287345 0.02485 19.89005
-0.939,47.8933 38.15952 44.507806 1.508225 19.21549
-0.862,45.85175 37.0538 42.18361 3.44655 18.50828
-0.791,44.640675 35.17524 41.028228 5.17275 17.87418
-0.696,41.6368 33.61472 38.734944 7.5468 16.89216
-0.62,39.771 31.752 36.77562 9.46199999999999 16.119
-0.525,37.6675 30.439 34.478725 11.744375 15.067
-0.488,36.456 29.6112 33.813312 12.672 14.86512
-0.432,35.5136 28.38224 32.409024 14.1858 14.19112
-0.366,34.15 26.9102 31.229492 15.67565 13.60536
-0.362,33.40305 26.80416 31.294674 15.77455 13.38846
-0.334,32.71635 26.43988 30.37518 16.43355 13.31332
-0.272,31.2594 25.08384 28.787904 17.9088 12.61824
-0.266,31.17525 24.96552 29.001528 18.00135 12.55872
-0.222,30.45835 24.17116 27.600092 19.0999 12.08558
-0.129,27.914525 22.3542 25.681363 21.6879 11.29
-0.0460000000000002,26.0977 20.68988 23.913652 23.77845 10.32402
0.0519999999999998,23.6289 18.94104 21.498744 26.0896 9.47052
0.136,21.3408 17.0208 19.752768 28.258 8.61408
0.21,19.41425 15.5946 18.09732 30.03825 7.821
0.307,17.325 13.66596 15.763671 32.21755 6.82605
0.325,16.70625 13.2975 15.49395 32.7275 6.696
0.356,16.0678 12.77696 14.708316 33.4593 6.40136
0.37,15.51375 12.3606 14.25816 34.0445 6.2181
0.443,13.660425 10.9172 12.567591 35.85855 5.51987
0.478,12.90645 10.32516 11.873934 36.46965 5.1417
0.563,10.77205 8.66134000000001 10.000745 38.6061 4.3263
0.624,9.28720000000001 7.42224000000001 8.55287200000001 40.0722 3.7036
0.661,8.33940000000001 6.70542000000001 7.73462400000001 41.10975 3.34932
0.716,7.02190000000001 5.61184000000001 6.51893600000001 42.2994 2.82012
0.765,5.81625000000001 4.606 5.39959500000001 44.125 2.31475
0.837,4.07500000000001 3.23718000000001 3.70776100000001 45.787225 1.62348
0.885,2.86062500000001 2.254 2.61326 46.27675 1.13045
0.887,2.81652500000001 2.2487 2.54702 46.939125 1.10853
0.924,1.9 1.49568 1.723528 47.7152 0.753160000000002
0.999,0.02455 0.01974 0.022724 49.1754 0.00983000000000001
